rank,title,rating,show_type,votes,episodes
42b,Fate/stay night,7.51,TV,5859,24
43b,Claymore,8.17,TV,5336,26
44b,Toradora!,8.47,TV,5074,25
45b,Inuyasha,7.29,TV,5878,167
46b,Castle in the Sky,8.53,movie,4967,
47b,Full Metal Panic! The Second Raid,8.42,TV,5024,13
48b,Black Lagoon,8.29,TV,5079,12
49b,Blood+,7.98,TV,5225,50
50b,Angel Beats!,8.53,TV,4876,13
51b,Neon Genesis Evangelion: The End of Evangelion,8.33,movie,4970,
52b,My Neighbor Totoro,8.65,movie,4778,
53b,Grave of the Fireflies,8.69,movie,4661,
54b,Dragon Ball Z,7.17,TV,5639,291
55b,Eureka Seven,8.30,TV,4764,50
56b,Air,7.95,TV,4906,
57b,Berserk,8.45,TV 1997,4574,
58b,Love Hina,7.40,TV,5218,
59b,Last Exile,8.33,TV,4546,
60b,When They Cry - Higurashi,8.09,TV,4633,
61b,GTO: Great Teacher Onizuka,8.66,TV,4272,
62b,Baccano!,8.66,TV,4267,16
63b,Wolf's Rain,7.94,TV,4522,
64b,Welcome to the NHK,8.50,TV,4191,
65b,Sword Art Online,7.34,TV,4829,
66b,Serial Experiments Lain,7.89,TV,4484,
67b,Shakugan no Shana,8.01,TV,4390,
68b,Haibane Renmei,8.47,TV,4114,
69b,One Piece,8.15,TV,4261,
70b,Attack on Titan,8.33,TV,4147,
71b,Kiki's Delivery Service,8.28,movie,4142,
72b,Naruto Shippūden,7.89,TV,4338,
73b,(The) Vision of Escaflowne,8.08,TV,4170,
74b,Samurai 7,8.16,TV,4031,26
75b,Soul Eater,8.11,TV,3993,
76b,Ergo Proxy,7.99,TV,4043,
77b,Black Lagoon: The Second Barrage,8.44,TV,3819,
78b,Spice and Wolf,8.37,TV,3848,
79b,School Rumble,8.25,TV,3899,
80b,Lucky Star,8.00,TV,3997,
81b,Eden of the East,8.37,TV,3806,
82b,Kanon,8.63,TV 2/2006,3666,
83b,Gungrave,8.35,TV,3764,26
84b,Puella Magi Madoka Magica,8.61,TV,3614,12
85b,Dragon Ball,7.28,TV,4269,153
86b,Monster,8.76,TV,3546,74
87b,High School of the Dead,7.54,TV,4025,12
88b,Summer Wars,8.71,movie,3460,
89b,Chrono Crusade,7.76,TV,3853,24
90b,Bakemonogatari,8.34,TV,3578,15
91b,anohana: The Flower We Saw That Day,8.75,TV,3354,11
92b,Gunslinger Girl,7.94,TV,3663,13
93b,Lunar Legend Tsukihime,8.03,TV,3555,12
94b,(The) Familiar of Zero,7.76,TV,3669,13
95b,Yu Yu Hakusho: Ghost Files,8.10,TV,3513,112
96b,R.O.D -The TV-,8.35,,3405,26
97b,Read or Die,8.05,OAV,3528,3
98b,Mobile Suit Gundam Seed,8.08,TV,3467,50
99b,Durarara!!,8.06,TV,3475,24
100b,Paranoia Agent,7.89,TV,3534,13
101b,My-HiME,8.06,TV,3435,26
102b,Cardcaptor Sakura,7.94,TV,3462,70
103b,Outlaw Star,7.87,TV,3478,26
104b,Ah! My Goddess,7.67,TV,3568,26
105b,RahXephon,8.01,TV,3272,26
106b,Paprika,8.29,movie,3153,
107b,Mobile Suit Gundam Wing,7.55,TV,3458,49
108b,.hack//SIGN,7.01,TV,3645,26
109b,Please Teacher!,7.61,TV,3334,12
110b,K-ON!,7.83,TV,3229,14
111b,Voices of a Distant Star,8.12,OAV,3111,1
112b,Rumbling Hearts,7.88,TV,3191,14
113b,(The) Disappearance of Haruhi Suzumiya,8.86,movie,2837,
114b,Ghost in the Shell 2: Innocence,7.85,movie,3178,
115b,Honey and Clover,8.40,TV,2948,26
116b,D.N.Angel,7.36,TV,3341,26
117b,Gankutsuou: The Count of Monte Cristo,8.47,TV,2877,24
118b,Witch Hunter Robin,7.41,TV,3281,26
119b,Perfect Blue,8.10,movie,2993,
120b,Kimi ni Todoke - From Me to You,8.44,TV,2864,25
121b,Trinity Blood,7.39,TV,3272,24
122b,Nodame Cantabile,8.65,TV,2795,23
123b,Shuffle!,7.51,TV,3189,24
124b,Neon Genesis Evangelion: Death & Rebirth,7.13,movie,3304,
125b,Ninja Scroll,7.55,movie,3095,
126b,Rurouni Kenshin: Reflection,8.06,OAV,2898,2
127b,Genshiken,8.11,TV,2868,12
128b,Excel Saga,7.44,TV,3124,26
129b,Ghost in the Shell: Stand Alone Complex 2nd GIG,8.75,TV,2652,26
130b,BECK: Mongolian Chop Squad,8.42,TV,2753,26
131b,Kino's Journey,8.57,TV,2696,13
132b,Gantz,7.14,TV,3229,26
133b,(The) Twelve Kingdoms,8.43,TV,2730,45
134b,Hellsing Ultimate,8.41,OAV,2733,10
135b,Whisper of the Heart,8.48,movie,2699,
136b,Vampire Hunter D: Bloodlust,7.99,movie,2858,
137b,When They Cry - Kai,8.14,TV,2804,24
138b,Vampire Knight,7.59,TV,3003,13
139b,Scrapped Princess,7.96,TV,2854,24
140b,Tsubasa: RESERVoir CHRoNiCLE,7.62,TV,2971,
141b,Evangelion: 1.0 You Are,8.43,movie,2674,
142b,Black Cat,7.49,TV,2983,24
143b,His and Her Circumstances,8.00,TV,2788,26
144b,Noir,7.58,TV,2929,26
145b,Blood: The Last Vampire,6.78,movie,3262,
146b,Sailor Moon,6.97,TV,3115,46
147b,D.Gray-man,7.89,TV,2732,103
148b,xxxHOLiC,7.92,TV,2717,24
149b,Hunter X Hunter,8.56,TV,2498,62
150b,ef: a tale of memories,8.54,TV,2496,12
151b,Moribito - Guardian of the Spirit,8.48,TV,2511,26
152b,Midori Days,7.66,TV,2774,13
153b,Planetes,8.55,TV,2451,26
154b,School Rumble: 2nd Semester,8.34,TV,2513,26
155b,Rosario + Vampire,7.11,TV,2936,13
156b,Millennium Actress,8.57,movie,2427,
