rank,title,rating,show_type,votes,episodes
537b,Trigun: Badlands Rumble,7.98,movie,1010,
538b,Sailor Moon SuperS,6.97,TV,1156,39
539b,InuYasha: The Final Act,8.07,TV,998,26
540b,Magi: The Labyrinth of Magic,7.36,TV,1094,25
541b,When They Cry - Rei,7.32,OAV,1098,5
542b,Sankarea: Undying Love,7.47,TV,1076,12
543b,Junjō Romantica,8.12,TV,988,12
544b,Dragon Ball Z: The History of Trunks,7.27,special,1104,
545b,Valkyria Chronicles,7.82,TV,1024,26
546b,Pumpkin Scissors,7.37,TV,1086,24
547b,Kanon,7.20,TV 1/2002,1110,13
548b,Ground Control to Psychoelectric Girl,7.63,TV,1047,13
549b,Initial D: Second Stage,8.01,TV,997,13
550b,(The) Sacred Blacksmith,6.77,TV,1177,12
551b,Stellvia,7.71,TV,1032,26
552b,Chibits,6.78,special,1168,
553b,Dragon Ball Z: Cooler's Revenge,6.48,movie 5,1222,
554b,Hetalia - Axis Powers,7.53,TV,1050,
555b,Yu-Gi-Oh!,6.47,TV 2/2000,1222,224
556b,Only Yesterday,7.77,movie,1018,
557b,Sailor Moon R: The Movie,7.27,,1084,
558b,Macross Zero,8.08,OAV,974,5
559b,Dragon Ball Z: Broly - The Legendary Super Saiyan,7.01,movie 8,1113,
560b,KonoSuba – God’s blessing on this wonderful world!!,7.87,TV,990,11
561b,Naruto Shippūden,7.29,movie,1067,
562b,Aldnoah.Zero,6.99,TV,1112,12
563b,Penguindrum,8.02,TV,969,24
564b,Panty & Stocking with Garterbelt,7.31,TV,1062,13
565b,She and Her Cat,7.65,OAV,1010,1
566b,Black Rock Shooter,6.90,OAV,1119,
567b,Terror in Resonance,7.89,TV,978,11
568b,Tokyo Ghoul √A,6.89,TV,1118,12
569b,Baka and Test - Summon the Beasts 2,7.88,TV,974,13
570b,Digimon Tamers,7.05,TV,1083,51
571b,Akane Iro ni Somaru Saka,6.73,TV,1134,12
572b,(The) irregular at magic high school,6.66,TV,1146,26
573b,Kamichu!,7.95,TV,959,16
574b,Reborn!,7.95,TV,958,203
575b,Revolutionary Girl Utena: The Movie,7.31,,1041,
576b,H2O ~Footprints in the Sand~,7.29,TV,1042,12
577b,Gunbuster 2: Diebuster,7.81,OAV,961,6
578b,Momo: The Girl God of Death,7.51,TV,996,6
579b,Ah My Buddha,6.45,TV,1158,13
580b,Chobits,6.80,OAV,1097,1
581b,Amagami SS,7.74,TV,963,25
582b,Heaven's Lost Property Forte,7.59,TV,982,12
583b,D.C. ~Da Capo~,6.99,TV,1066,26
584b,Blast of Tempest,7.52,TV,989,24
585b,Michiko & Hatchin,6.88,TV,1080,22
586b,07-Ghost,7.24,TV,1027,25
587b,Kimi ga Aruji de Shitsuji ga Ore de,7.39,TV,1005,13
588b,Mobile Suit Gundam 0080: War in the Pocket,7.68,OAV,967,6
589b,Flame of Recca,6.89,TV,1075,42
590b,Pani Poni Dash!,7.45,TV,994,26
591b,Steins;Gate: The Movie - Load Region of Déjà Vu,7.99,,926,
592b,Mononoke,8.49,TV,869,12
593b,Nekomonogatari,7.94,TV,922,4
594b,INTERSTELLA 5555: The 5tory of the 5ecret 5tar 5ystem,8.03,movie,911,
595b,Mobile Suit Zeta Gundam,8.20,TV,890,50
596b,Dead Leaves,6.83,OAV,1067,
596b,Solty Rei,7.64,TV,954,24
598b,Good Luck! Ninomiya-kun,6.89,TV,1058,12
599b,Inukami!,7.32,TV,995,26
600b,Royal Space Force - The Wings of Honnêamise,7.77,movie,937,
601b,Detroit Metal City,8.12,OAV,895,12
602b,(The) Seven Deadly Sins,7.74,TV,936,24
603b,Aria the Scarlet Ammo,6.69,TV,1083,12
604b,Dragon Ball Z: The Return of Cooler,6.43,movie 6,1125,
605b,Fate/stay night: Unlimited Blade Works,8.21,TV,878,13
606b,Mobile Suit Gundam 0083: Stardust Memory,7.44,OAV,968,13
607b,Gakuen Alice,7.74,TV,929,26
608b,Aria the Origination,8.50,TV,845,13
609b,Fate/stay night: Unlimited Blade Works,7.44,movie,961,
610b,Mayo Chiki!,7.38,TV,967,13
611b,Heaven's Memo Pad,7.76,TV,919,12
612b,Shigofumi - Letters from the Departed,7.96,TV,895,12
613b,Sailor Moon S: The Movie,7.17,,991,
614b,Zoku Sayonara Zetsubou-sensei,8.13,TV,873,13
615b,Nodame Cantabile: Finale,8.33,TV,851,11
616b,Tokyo Majin,6.48,TV,1089,14
616b,Ikki Tousen: Dragon Destiny,7.02,TV,1005,12
618b,3x3 Eyes,7.09,OAV,995,4
619b,Made in Abyss,8.69,TV,811,13
620b,Kiss×sis,6.95,TV,1013,12
621b,Bleach the Movie: Fade to Black,7.46,movie 3,944,
622b,Student Council's Discretion,7.34,TV,959,12
623b,Children Who Chase Lost Voices,7.88,movie,890,
623b,JoJo's Bizarre Adventure,7.81,TV,898,26
625b,Gunsmith Cats,7.35,OAV,954,3
626b,Demon Slayer: Kimetsu no Yaiba,7.88,TV,890,26
627b,Comedy,8.29,OAV,846,
628b,Rozen Maiden: Ouvertüre,7.82,special,896,
629b,(The) Irresponsible Captain Tylor,8.00,TV,875,26
630b,Overlord,7.71,TV,907,13
631b,Ninja Nonsense,7.07,TV,987,12
632b,(The) Legend of the Legendary Heroes,6.73,TV,1035,24
633b,Inu X Boku Secret Service,7.46,TV,933,12
634b,GATE,7.70,TV,903,12
635b,Initial D: Fourth Stage,8.14,TV,853,24
636b,Kiba,7.28,TV,951,51
637b,Attack on Titan,8.37,TV 2/2017,827,12
638b,Ninja Scroll,6.35,TV,1090,13
638b,Kimikiss pure rouge,7.62,TV,908,24
640b,Initial D: Third Stage,7.94,movie,870,
641b,WATAMOTE,7.25,TV,952,12
642b,Princess Lover!,5.98,TV,1151,12
643b,Hell Girl: Two Mirrors,7.95,TV,865,26
644b,Kuroko's Basketball,7.50,TV,913,
645b,Spy×Family,8.22,TV,831,
646b,Saint Seiya,7.14,TV,952,114
646b,Haré+Guu,7.89,TV,862,26
648b,Pale Cocoon,7.81,OAV,868,1
649b,Naruto: Akaki Yotsuba no Clover o Sagase,6.05,OAV,1119,1
650b,Tokko,6.57,TV,1029,13
651b,(The) Legend of the Galactic Heroes,8.77,OAV,770,110
652b,Occult Academy,7.14,TV,944,13
653b,Daily Lives of High School Boys,7.91,TV,851,12
654b,(The) Tower of Druaga: the Sword of Uruk,7.56,TV,885,12
655b,Tsubasa RESERVoir CHRoNiCLE the Movie: The Princess in the Birdcage Kingdom,7.11,,941,
656b,Dragon Ball Z: Fusion Reborn,7.15,movie 12,935,
657b,No. 6,7.32,TV,911,11
658b,Negima!?,7.25,TV,920,26
659b,Peach Girl,7.07,TV,942,25
660b,Steel Angel Kurumi,6.99,TV,953,24
661b,Fafner,7.23,TV,920,25
662b,Tekkonkinkreet,7.97,movie,833,
663b,Lupin the 3rd,7.04,TV,943,23
664b,(Le) Portrait de Petite Cossette,6.96,OAV,952,3
665b,Shugo Chara!,7.58,TV,873,51
666b,Azumanga Web Daioh,6.97,ONA,948,1
667b,Nagasarete Airantou,7.56,TV,871,26
668b,Food Wars! Shokugeki no Soma,8.14,TV,808,24
669b,Moyashimon,7.87,TV,833,11
670b,Hand Maid May,6.96,TV,942,11
671b,Dragon Half,7.21,OAV,908,2
672b,Patlabor: The Movie,7.65,movie 1,852,
672b,Afro Samurai: Resurrection,7.13,movie,914,
674b,Assassination Classroom,7.76,TV,840,22
675b,Ranma ½ OAV,7.88,,827,11
675b,Is This a Zombie? of the Dead,7.08,TV,921,10
677b,Bubblegum Crisis,7.27,OAV,896,8
678b,(La) Corda D'Oro - primo passo,7.59,TV,855,25
679b,Oreimo 2,7.38,TV,878,16
680b,Omamori Himari,7.19,TV,899,12
681b,Maria Watches Over Us 3rd Season,8.77,OAV,736,5
682b,Otoboku - Maidens Are Falling for Me!,7.22,TV,894,12
683b,(The) Super Dimension Fortress Macross: Do You Remember Love?,8.34,movie,771,
684b,Infinite Ryvius,7.64,TV,839,26
684b,Kurau: Phantom Memory,7.70,TV,832,24
686b,Mobile Suit Gundam: Char's Counterattack,7.81,movie,820,
687b,Mob Psycho 100,8.30,TV,772,12
688b,.hack//Roots,6.69,TV,956,26
689b,Evangelion: 3.0 You Can,7.53,movie,848,
690b,MAOYU,7.35,TV,867,12
691b,Tenchi The Movie 2 - The Daughter of Darkness,7.01,,908,
691b,Cat Soup,7.53,OAV,846,1
693b,Chihayafuru 2,8.09,TV,787,
694b,A Silent Voice,8.73,movie,729,
695b,Minami-ke: Okawari,7.57,TV,840,13
696b,Hajime no Ippo: New Challenger,8.63,TV,736,26
697b,Zoids,6.63,TV,957,67
698b,Date A Live,7.21,TV,875,12
699b,.hack//Liminality,6.67,OAV,941,4
700b,Nadia - The Secret of Blue Water,7.71,TV,813,39
701b,Tenjho Tenge: Ultimate Fight,6.94,OAV,902,2
701b,A Certain Scientific Railgun S,7.50,TV,835,24
703b,Murder Princess,7.00,OAV,893,6
704b,Barakamon,7.93,TV,787,12
705b,Robotics;Notes,7.68,TV,807,22
706b,Shakugan no Shana SP: Koi to Onsen no Kōgai Gakushū!,7.35,OAV,843,1
707b,Spriggan,6.52,movie,950,
708b,Hayate the Combat Butler!!,8.00,TV,772,25
709b,Dragonaut - The Resonance,6.37,TV,969,26
710b,Shakugan no Shana,7.43,movie,830,
711b,Bastard!!,6.62,OAV,931,6
712b,Kaiji,8.11,TV,759,26
713b,Charlotte,7.58,TV 2015,811,13
714b,Bokusatsu Tenshi Dokuro-chan Second,6.90,OAV,891,4
715b,Kodocha,7.96,TV,771,102
716b,Dragon Ball Z: Super Android 13!,6.47,movie 7,948,
717b,Street Fighter II: The Animated Movie,6.88,,892,
718b,Cross Game,8.75,TV,700,50
719b,Martian Successor Nadesico: The Motion Picture - Prince of Darkness,6.88,,891,
720b,Dragon Ball Z: Lord Slug,5.83,movie 4,1051,
720b,DNA²,6.71,TV,913,12
722b,Golden Time,7.77,TV,787,24
723b,Disgaea,6.86,TV,890,12
724b,Noragami Aragoto,7.70,TV,792,13
725b,Slam Dunk,8.23,TV,741,101
726b,Nura: Rise of the Yokai Clan,7.65,TV,797,26
726b,Monogatari Series Second Season,8.57,TV,711,26
728b,Dragon Ball Z: Broly - Second Coming,6.39,movie 10,953,
729b,Blue Seed,7.04,TV,863,26
730b,Broken Blade,8.05,movie series,753,
731b,11eyes,6.39,TV,947,12
732b,El-Hazard: The Magnificent World,7.61,OAV,795,7
733b,Kobato.,8.01,TV,754,24
734b,Pokémon 3 - The Movie,6.20,movie 3,974,
735b,Ben-To,7.28,TV,829,12
736b,Comic Party,6.80,TV,887,13
737b,Natsume's Book of Friends,8.54,TV 3,703,13
738b,Pet Shop of Horrors,7.08,TV,847,4
739b,Yosuga no Sora - In solitude where we are least alone,6.74,TV,889,12
740b,Slayers - The Motion Picture,7.05,,850,
741b,Emma: A Victorian Romance,8.09,TV,740,12
742b,Armitage III,7.12,OAV,840,4
743b,Video Girl Ai,7.55,OAV,791,6
744b,Nisekoi - False Love,7.25,TV,824,20
745b,Sengoku Basara - Samurai Kings,5.85,TV,1020,12
746b,Library War,6.96,TV,854,12
747b,Dragon Ball Z: Wrath of the Dragon,7.05,movie 13,842,
748b,Tenchi Muyo! The Night Before The Carnival,7.83,OAV,758,1
749b,Umineko - When They Cry,7.04,TV,843,26
750b,Bakuman. 2,8.40,TV,706,25
751b,RahXephon: Pluralitas Concentio,7.29,movie,813,
752b,Tari Tari,7.95,TV,745,13
753b,Aesthetica of a Rogue Hero,7.02,TV,843,12
754b,(The) Familiar of Zero F,7.58,TV,779,12
755b,Fullmetal Alchemist: The Sacred Star of Milos,7.31,movie,808,
756b,Yona of the Dawn,7.92,TV,745,24
757b,Kamisama Kiss,7.75,TV,761,13
758b,Dual! Parallel Trouble Adventure,7.20,TV,819,13
759b,Jing: King of Bandits,6.91,TV,851,13
760b,Patlabor 2: The Movie,7.77,movie 2,757,
761b,High School DxD New,7.56,TV,777,12
762b,Tenchi Forever!: The Movie,7.14,,823,
763b,Jormungand,7.76,TV,755,12
764b,Dragon Ball Z: Bojack Unbound,6.83,movie 9,858,
765b,Shin chan,6.71,TV,873,
765b,El Cazador de la Bruja,7.17,TV,817,26
767b,Koihime Musō,7.42,TV,789,12
768b,Black Bullet,7.20,TV,812,13
768b,My Hero Academia,8.32,TV 2,702,25
770b,School Rumble Sangakki,7.51,OAV,777,2
771b,Blood Lad,7.41,TV,785,10
772b,Armitage III: Poly-Matrix,6.83,movie,851,
773b,K-ON!,8.04,movie,722,
774b,Persona 4: The Animation,7.47,TV,776,26
775b,Mysterious Girlfriend X,7.37,TV,781,13
776b,MM!,7.31,TV,787,12
777b,"Listen to Me, Girls. I Am Your Father!",7.54,TV,762,12
778b,Mushoku Tensei: Jobless Reincarnation,8.05,TV 2,712,
779b,Bokurano,7.62,TV,750,24
779b,(The) Qwaser of Stigmata,5.90,TV,969,24
781b,Samurai Girls,6.95,TV,821,12
782b,Rave Master,6.48,TV,881,51
782b,Time of Eve,8.50,movie,672,
784b,Mezzo Forte,6.95,OAV,821,2
785b,Banner of the Stars III,7.94,OAV,718,2
786b,Arjuna,6.59,TV,865,13
787b,Knights of Sidonia,7.85,TV,725,12
788b,Wagnaria!!2,7.94,TV,716,13
789b,Kill Bill Chapter 3: The Origin of O-Ren,7.67,movie segment,740,
790b,(The) Mystic Archives of Dantalian,7.59,TV,747,12
791b,Dragon Ball Z Kai,7.59,TV,747,97
792b,Welcome to THE SPACE SHOW,8.21,movie,690,
793b,Intrigue in the Bakumatsu - Irohanihoheto,7.42,TV,763,26
794b,My-Otome Zwei,7.35,OAV,769,4
795b,Free! - Iwatobi Swim Club,7.37,TV,766,
796b,Armitage: Dual-Matrix,6.77,movie,833,
796b,Amaenaide yo!! Katsu!!,6.94,TV,812,13
798b,(The) Sky Crawlers,7.17,movie,786,
799b,Happy Lesson,6.69,TV,840,14
800b,Saber Marionette J,7.29,TV,770,25
801b,Sailor Moon SuperS: The Movie,7.00,,802,
802b,Ladies versus Butlers!,6.97,TV,805,12
803b,My Teen Romantic Comedy SNAFU TOO!,7.95,TV,705,13
804b,Strike the Blood,7.59,TV,738,24
805b,"Problem children are coming from another world, aren't they?",7.51,TV,745,10
806b,Beelzebub,7.61,TV,734,60
807b,Bible Black,6.84,OAV,817,6
807b,Mind Game,7.98,movie,700,
809b,Eyeshield 21,7.57,TV,738,145
810b,Bodacious Space Pirates,7.43,TV,751,26
811b,Kino's Travels: Life Goes On,7.91,movie,705,
812b,Kodomo no Jikan,7.19,TV,773,12
813b,Kaiba,8.37,TV,664,12
814b,Mahoromatic: Summer Special,7.17,,775,
815b,Gravitation: Lyrics of Love,7.00,OAV,793,2
816b,Hatsukoi Limited,7.81,TV,710,12
817b,Mythical Detective Loki Ragnarok,7.08,TV,782,26
818b,Kyo no Gononi,7.51,OAV,737,4
819b,A Lull in the Sea,8.07,TV,683,26
820b,(The) Third: The Girl with the Blue Eye,7.59,TV,725,24
821b,(The) Promised Neverland,7.85,TV,701,12
822b,Yuruyuri - Happy Go Lily,7.61,TV,722,12
823b,Hajime no Ippo - Champion Road,8.30,special,660,
824b,Chaika - The Coffin Princess,7.46,TV,732,12
825b,From Up On Poppy Hill,7.94,movie,685,
826b,Puella Magi Madoka Magica The Movie Part 3: Rebellion,8.20,,663,
827b,Junjō Romantica 2,8.24,TV,659,12
828b,Silver Spoon,8.13,TV,668,11
829b,Black Rock Shooter,6.83,TV,795,8
830b,(The) Troubled Life of Miss Kotoura,7.40,TV,733,12
830b,Amagi Brilliant Park,7.64,TV,710,13
832b,Galaxy Angel,7.02,TV,770,26
833b,Good Luck Girl!,7.58,TV,713,13
834b,Boys Over Flowers,7.63,TV,705,51
835b,Requiem from the Darkness,7.16,TV,750,13
836b,Princess Princess,7.02,TV,765,12
837b,Kiss×sis,7.23,OAV,741,
838b,Maison Ikkoku,8.47,TV,633,96
839b,Mahoraba ~Heartful days~,7.65,TV,700,26
840b,Hotarubi no Mori e,8.31,movie,643,
841b,Record of Lodoss War: Chronicles of the Heroic Knight,6.80,TV,786,27
842b,Hidamari Sketch,7.86,TV,679,12
843b,Tenchi Muyo! Ryo Ohki,7.37,OAV 3/2003,724,6
843b,Aria the OVA ~Arietta~,7.91,,675,
845b,Simoun,7.62,TV,699,26
846b,"(The "")Hentai"" Prince and the Stony Cat.",7.33,TV,727,12
847b,Jubei-Chan The Ninja Girl - Secret of the Lovely Eyepatch,6.93,TV,768,13
848b,Ranma ½: Nihao My Concubine,7.22,movie,735,
849b,Kabaneri of the Iron Fortress,7.45,TV,712,12
849b,Violet Evergarden,8.46,TV,627,13
851b,Big Windup!,8.03,TV,660,25
852b,My Dress-Up Darling,7.90,TV,670,12
853b,Tactics,7.01,TV,754,25
854b,Log Horizon,7.63,TV 2,691,25
855b,My Love Story!!,7.83,TV,672,24
856b,"Ranma ½: Big Trouble in Nekonron, China",7.09,movie,741,
857b,Berserk: The Golden Age Arc I - The Egg of the King,7.93,movie,663,
858b,Girls und Panzer,7.68,TV,684,12
859b,Tokyo Mew Mew,6.48,TV,811,52
860b,"Yamibo - Darkness, the Hat, and the Travelers of the Books",7.13,TV,735,13
861b,KONOSUBA - God's blessing on this wonderful world! 2,7.96,TV,657,10
862b,(The) Gokusen,7.24,TV,722,13
863b,Rental Magica,7.08,TV,737,24
864b,(The) Law of Ueki,7.52,TV,693,51
865b,(The) World God Only Knows: Goddesses Arc,7.81,TV,666,12
866b,Orphen,6.83,TV,761,24
867b,Motto To Love Ru,7.34,TV,707,12
868b,Those Who Hunt Elves,6.80,TV,763,12
868b,Plastic Memories,7.60,TV,683,13
870b,Final Fantasy: Unlimited,5.13,TV,1011,25
871b,Toward the Terra,7.93,TV,653,24
871b,Shakugan no Shana III,7.61,TV,681,24
873b,Campione!,7.14,TV,724,13
874b,Zatch Bell,5.88,TV,879,150
875b,Haikyu!!,8.30,TV,622,25
876b,Pilot Candidate,5.44,TV,950,12
877b,Shigurui: Death Frenzy,7.22,TV,715,12
878b,Aa Megami-sama: Tatakau Tsubasa,7.78,special,663,
879b,Shirobako,8.31,TV,620,24
880b,Psycho-Pass 2,7.21,TV,715,11
881b,"Love, Chunibyo & Other Delusions! -Heart Throb-",7.54,TV,683,12
882b,Natsume's Book of Friends,8.62,TV 4,597,13
883b,Mezzo,6.87,TV,748,13
884b,Innocent Venus,6.92,TV,742,12
885b,Aldnoah.Zero,6.67,TV 2,769,12
886b,Magical Girl Lyrical Nanoha StrikerS,7.78,TV,659,26
887b,(The) Tatami Galaxy,7.98,TV,642,11
888b,Dream Eater Merry,6.94,TV,738,13
889b,Girl's High,6.48,TV,789,12
889b,Fate/stay night: Unlimited Blade Works,8.02,TV 2,638,
891b,Tenchi Muyo! GXP,6.82,TV,748,26
892b,Magnetic Rose,8.27,movie,616,
893b,Hamtaro,4.68,TV,1088,296
894b,Nyaruko: Crawling with Love!,7.12,TV,713,12
895b,Vampire Princess Miyu,6.75,TV,752,26
895b,"Grimgar, Ashes and Illusions",7.88,TV,644,12
897b,Miss Kobayashi's Dragon Maid,8.08,TV,628,14
898b,Akikan!,6.26,TV,807,12
899b,Princess Resurrection,6.87,TV,733,25
900b,Higurashi no Naku Koroni Gaiden Nekogoroshi-hen,7.14,OAV,704,1
901b,Kimagure Orange Road,8.11,TV,619,48
902b,Magi: The Kingdom of Magic,7.52,TV,666,25
903b,Tales of the Abyss,7.26,TV,690,26
904b,Tenchi Muyo! War on Geminar,8.00,OAV,626,13
905b,Little Witch Academia,7.92,movie,632,
906b,Rune Soldier,7.05,TV,709,24
906b,Tears to Tiara,7.20,TV,695,26
908b,Living for the Day After Tomorrow,7.59,TV,657,12
909b,Mushishi: The Next Chapter,8.79,TV,567,
910b,Level E,7.46,TV,668,13
911b,Ocean Waves,7.25,movie,685,
911b,Naruto: Konoha Sports Festival,6.20,movie,801,
911b,Rage of Bahamut: Genesis,7.90,TV,629,13
914b,Boys Be...,6.55,TV,757,13
914b,Chivalry of a Failed Knight,7.80,TV,636,12
916b,Asura Cryin',6.95,TV,714,13
917b,Death Note Relight - Visions of a God,8.22,special,603,
918b,Blood Blockade Battlefront,7.63,TV,650,12
919b,Blood-C,6.08,TV,813,12
920b,Magikano,6.32,TV,781,13
921b,Magic Knight Rayearth 2,7.33,TV,671,29
922b,Fullmetal Alchemist: Chibi Party,7.13,OAV,690,
923b,Zakuro,7.59,TV,648,13
924b,(The) Wind Rises,8.10,movie,607,
925b,Kakurenbo - Hide & Seek,6.90,movie,712,
926b,(The) Ambition of Oda Nobuna,7.46,TV,658,12
927b,Digimon Frontier,6.25,TV,785,50
928b,NieA_7,7.14,TV,686,13
929b,Zoids/ZERO,6.76,TV,724,26
930b,GATE,7.86,TV 2,623,12
931b,Dragon Crisis!,6.83,TV,716,12
932b,Sukisho,7.05,TV,693,13
933b,Arakawa under the Bridge × Bridge,7.74,TV,631,13
934b,(The) Melancholy of Haruhi-chan Suzumiya,7.50,ONA,651,25
935b,Baka and Test: Summon the Beasts OVA,7.83,,622,2
936b,Tachikomatic Days,7.16,OAV,680,52
937b,Fushigi Yugi,6.82,OAV,713,3
938b,.hack//Intermezzo,6.77,OAV,718,1
939b,Needless,6.98,TV,696,24
940b,Strike Witches 2,7.62,TV,638,12
941b,Naruto Shippūden the Movie: Bonds,7.09,,685,
942b,Danganronpa The Animation,6.98,TV,695,13
943b,X OAV,6.80,,710,1
944b,Fullmetal Alchemist: Premium Collection,7.27,OAV,664,4
945b,Unbreakable Machine-Doll,7.47,TV,644,12
946b,Pokémon 4Ever,6.08,movie 4,790,
946b,ReLIFE,8.10,TV,593,13
948b,Final Approach,6.68,TV,718,13
949b,Kamisama Kazoku,7.32,TV,655,13
950b,Space Dandy,7.49,TV,640,13
951b,Chainsaw Man,7.87,TV,609,
952b,Beyblade,4.39,TV,1086,51
953b,Someday's Dreamers,6.95,TV,685,12
954b,Appleseed,6.27,OAV,758,
955b,Kurozuka,6.92,TV,686,12
956b,Otaku no Video,7.38,OAV,639,2
957b,Saiyuki Reload,6.47,TV,728,25
957b,King of Thorn,7.41,movie,636,
959b,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,8.26,TV,570,11
960b,Rokka: Braves of the Six Flowers,7.27,TV,647,12
961b,Ghost in the Shell: Stand Alone Complex - The Laughing Man,8.22,OAV,572,
962b,Sumomomo Momomo - Chijō Saikyō no Yome,6.97,TV,673,22
962b,House of Five Leaves,7.89,TV,595,12
964b,Un-Go,7.32,TV,641,11
965b,Humanity Has Declined,7.76,TV,604,12
966b,Yumeria,6.13,TV,761,12
967b,Coyote Ragtime Show,6.45,TV,723,12
968b,Tsubasa: Spring Thunder,8.09,OAV,575,2
969b,Dragon Ball Z: Bio-Broly,5.47,movie 11,849,
970b,Project A-ko,7.04,movie,659,
971b,Minami-ke: Okaeri,7.76,TV,597,13
971b,86,7.84,TV 2,591,12
973b,Iria - Zeiram the Animation,7.13,OAV,647,6
974b,Hajime no Ippo - Mashiba vs. Kimura,8.16,OAV,565,1
975b,To Love-Ru,7.30,OAV,630,6
976b,Shakugan no Shana S,7.51,OAV,607,4
977b,Fantastic Children,7.82,TV,583,26
977b,Silver Spoon,7.94,TV 2,574,11
979b,Ragnarok The Animation,5.86,TV,778,26
979b,Ayakashi - Samurai Horror Tales,7.43,TV,614,11
981b,Amatsuki,6.94,TV,657,13
982b,SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn’t Exist,7.52,TV,606,12
983b,(The) Ancient Magus' Bride,7.90,TV,576,24
984b,Hakuoki: Demon of the Fleeting Blossom,5.52,TV,823,12
985b,3x3 Eyes Seima Densetsu,7.30,OAV,622,3
985b,Gilgamesh,6.36,TV,714,26
987b,Shattered Angels,6.72,TV,676,12
988b,Ghost Stories,7.48,TV,607,20
989b,Maria Watches Over Us 4th Season,8.70,TV,521,13
990b,Sands of Destruction,7.01,TV,644,13
991b,"Eureka Seven - good night, sleep tight, young lovers",7.15,movie,631,
992b,Blade of the Immortal,6.84,TV,658,13
993b,Star Driver,7.27,TV,619,25
994b,Riddle Story of Devil,7.45,TV,603,12
995b,Earl and Fairy,7.21,TV,623,12
996b,Seraph of the End: Vampire Reign,7.25,TV,619,12
997b,Gurren Lagann the Movie –Childhood's End-,8.00,,559,
998b,Yu Yu Hakusho The Movie: Poltergeist Report,6.98,movie 2/1994,641,
999b,Mobile Suit Gundam - The Movie Trilogy,8.13,,550,
1000b,Bakuman. 3,8.32,TV,536,
