rank,title,rating,show_type,episodes,run_time,member_count
967a,Crayon Shin-chan,7.78,TV,?,Apr 1992 -,80134
968a,Date A Live IV,7.78,TV,12,Apr 2022 - Jun 2022,229913
969a,Detective Conan Movie 12: Full Score of Fear,7.78,Movie,1,Apr 2008 - Apr 2008,45687
970a,Digimon Adventure: Bokura no War Game!,7.78,Movie,1,Mar 2000 - Mar 2000,76152
971a,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,7.78,OVA,7,Jul 1992 - Jan 1998,25812
972a,Ginga Tetsudou 999,7.78,TV,113,Sep 1978 - Mar 1981,35761
973a,Gochuumon wa Usagi desu ka??,7.78,TV,12,Oct 2015 - Dec 2015,127017
974a,Gochuumon wa Usagi desu ka?? Dear My Sister,7.78,Movie,1,Nov 2017 - Nov 2017,40381
975a,Jin-Rou,7.78,Movie,1,Jun 2000 - Jun 2000,169374
976a,Jungle wa Itsumo Hare nochi Guu Deluxe,7.78,OVA,6,Aug 2002 - Jan 2003,12258
977a,Akage no Anne,7.77,TV,50,Jan 1979 - Dec 1979,31152
978a,Aria the Crepuscolo,7.77,Movie,1,Mar 2021 - Mar 2021,11426
979a,Digimon Adventure,7.77,TV,54,Mar 1999 - Mar 2000,390373
980a,Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,7.77,Special,1,Feb 1993 - Feb 1993,106111
981a,Hadashi no Gen,7.77,Movie,1,Jul 1983 - Jul 1983,50504
982a,"Haikyuu!! vs. ""Akaten""",7.77,OVA,1,May 2016 - May 2016,89428
983a,Heike Monogatari,7.77,TV,11,Jan 2022 - Mar 2022,74634
984a,Hidamari Sketch x SP,7.77,Special,2,Oct 2011 - Nov 2011,14500
985a,High Score Girl,7.77,TV,12,Jul 2018 - Sep 2018,248039
986a,Hoozuki no Reitetsu,7.77,TV,13,Jan 2014 - Apr 2014,127836
987a,Kidou Senshi Gundam,7.77,TV,43,Apr 1979 - Jan 1980,127398
988a,Kubikiri Cycle: Aoiro Savant to Zaregotozukai,7.77,OVA,8,Oct 2016 - Sep 2017,101602
989a,Kumichou Musume to Sewagakari,7.77,TV,12,Jul 2022 - Sep 2022,194463
990a,Love Live! School Idol Project 2nd Season,7.77,TV,13,Apr 2014 - Jun 2014,252297
991a,Lupin III: Part II,7.77,TV,155,Oct 1977 - Oct 1980,33521
992a,Lupin the Third: Mine Fujiko to Iu Onna,7.77,TV,13,Apr 2012 - Jun 2012,61347
993a,Saraiya Goyou,7.77,TV,12,Apr 2010 - Jul 2010,90063
994a,Sekaiichi Hatsukoi: Valentine-hen,7.77,Movie,1,Mar 2014 - Mar 2014,40454
995a,Sonny Boy,7.77,TV,12,Jul 2021 - Oct 2021,283189
996a,Wan Sheng Jie 3,7.77,ONA,12,Jan 2022 - Apr 2022,6480
997a,Yuru Yuri Nachuyachumi!+,7.77,Special,2,Aug 2015 - Sep 2015,53704
998a,Tamayura: Sotsugyou Shashin Part 2 - Hibiki,7.76,Movie,1,Aug 2015 - Aug 2015,9948
999a,Texhnolyze,7.76,TV,22,Apr 2003 - Sep 2003,240472
1000a,The Disappearance of Conan Edogawa: The Worst Two Days in History,7.76,Special,1,Dec 2014 - Dec 2014,12620
