rank,title,rating,show_type,votes,episodes
570a,Detective Conan Movie 04: Captured in Her Eyes,8.02,Movie,60056,1
571a,Doupo Cangqiong: San Nian Zhi Yue,8.02,ONA,6185,13
572a,Ginga Nagareboshi Gin,8.02,TV,26182,21
573a,Hanada Shounen-shi,8.02,TV,15163,25
574a,Juuni Kokuki,8.02,TV,144860,45
575a,Baby Steps 2nd Season,8.01,TV,88966,25
576a,Eve no Jikan,8.01,ONA,180514,6
577a,Kaichou wa Maid-sama!,8.01,TV,1206027,26
578a,Kidou Senshi Gundam: Dai 08 MS Shoutai,8.01,OVA,80088,12
579a,Omae Umasou da na,8.01,Movie,19090,1
580a,Pui Pui Molcar,8.01,TV,15352,12
581a,Quanzhi Gaoshou: Dianfeng Rongyao,8.01,Movie,47880,1
582a,Shokugeki no Souma: San no Sara,8.01,TV,939783,12
583a,Tokyo Magnitude 8.0,8.01,TV,290339,11
584a,Tsumiki no Ie,8.01,Movie,94234,1
585a,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.01,TV,1377063,13
586a,Zombieland Saga Revenge,8.01,TV,203666,12
587a,Touch,8.00,TV,34635,101
588a,Wolf's Rain OVA,8.00,OVA,65645,4
589a,Yofukashi no Uta,8.00,TV,517058,13
590a,Aria the OVA: Arietta,8.00,OVA,36870,1
591a,Clannad,8.00,TV,1375134,23
592a,Detective Conan Movie 15: Quarter of Silence,8.00,Movie,46463,1
593a,ef: A Tale of Melodies.,8.00,TV,162332,12
594a,Evangelion: 1.0 You Are (Not) Alone,8.00,Movie,540488,1
595a,Fullmetal Alchemist: Brotherhood Specials,8.00,Special,154529,4
596a,Hachimitsu to Clover,8.00,TV,260926,24
597a,Haikyuu!! Movie 1: Owari to Hajimari,8.00,Movie,95146,1
598a,Hibike! Euphonium,8.00,TV,439191,13
599a,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.00,TV,284060,14
600a,Kami nomi zo Shiru Sekai: Megami-hen,8.00,TV,336476,12
601a,Kara no Kyoukai Movie: Mirai Fukuin,8.00,Movie,111970,1
602a,Kimi ni Todoke,8.00,TV,895579,25
603a,Shadows House 2nd Season,8.00,TV,107667,12
604a,Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven,7.99,Special,28928,1
605a,Naruto,7.99,TV,2728327,220
