rank,title,rating,show_type,votes,episodes
1a,Fullmetal Alchemist: Brotherhood,9.10,TV,3189241,64
2a,Steins;Gate,9.07,TV,2450766,24
3a,Bleach: Sennen Kessen-hen,9.06,TV,453838,13
4a,Gintama°,9.06,TV,598754,51
5a,Kaguya-sama wa Kokurasetai: Ultra Romantic,9.05,TV,830703,13
6a,Shingeki no Kyojin Season 3 Part 2,9.05,TV,2116345,10
7a,Shingeki no Kyojin: The Final Season - Kanketsu-hen,9.04,Special,447707,2
8a,Gintama',9.04,TV,528331,51
9a,Gintama: The Final,9.04,Movie,134267,1
10a,Hunter x Hunter (2011),9.04,TV,2670226,148
11a,Gintama': Enchousen,9.03,TV,310530,13
12a,Ginga Eiyuu Densetsu,9.02,OVA,306558,110
13a,Fruits Basket: The Final,9.00,TV,434923,13
14a,Gintama.,8.98,TV,299182,12
15a,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.97,TV,120904,13
16a,Gintama,8.94,TV,1026592,201
17a,Koe no Katachi,8.94,Movie,2204335,1
18a,3-gatsu no Lion 2nd Season,8.93,TV,385120,22
19a,Clannad: After Story,8.93,TV,1153384,24
20a,Code Geass: Hangyaku no Lelouch R2,8.91,TV,1705942,25
21a,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.91,Movie,230341,1
22a,Violet Evergarden Movie,8.90,Movie,552790,1
23a,Owarimonogatari 2nd Season,8.88,TV,381941,7
24a,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88,TV,186885,14
25a,"""Oshi no Ko""",8.87,TV,576771,11
26a,Monster,8.87,TV,1021609,74
27a,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.86,Movie,189047,1
28a,Kimi no Na wa.,8.85,Movie,2609313,1
29a,Vinland Saga Season 2,8.84,TV,455847,24
30a,Bocchi the Rock!,8.84,TV,438028,12
31a,Gintama.: Shirogane no Tamashii-hen,8.81,TV,201284,12
32a,Kingdom 3rd Season,8.81,TV,91853,26
33a,Mob Psycho 100 II,8.80,TV,1440449,13
34a,Shingeki no Kyojin: The Final Season,8.80,TV,1857786,16
35a,Kimetsu no Yaiba: Yuukaku-hen,8.79,TV,1264025,11
36a,Kizumonogatari III: Reiketsu-hen,8.79,Movie,441747,1
37a,Sen to Chihiro no Kamikakushi,8.78,Movie,1768074,1
38a,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.78,TV,1146320,10
39a,Monogatari Series: Second Season,8.77,TV,649361,26
40a,Shingeki no Kyojin: The Final Season Part 2,8.77,TV,1145102,12
41a,Hajime no Ippo,8.76,TV,550301,75
42a,Cowboy Bebop,8.75,TV,1778748,26
43a,Kingdom 4th Season,8.74,TV,54146,26
44a,Vinland Saga,8.74,TV,1372634,24
45a,Mushishi Zoku Shou 2nd Season,8.73,TV,255507,10
46a,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.73,TV,181151,12
47a,Mob Psycho 100 III,8.72,TV,579621,12
48a,Shiguang Dailiren,8.72,ONA,301986,11
49a,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71,OVA,269337,4
50a,86 Part 2,8.71,TV,437519,12
51a,Ashita no Joe 2,8.71,TV,48036,47
52a,Code Geass: Hangyaku no Lelouch,8.70,TV,2159531,25
53a,Mushishi Zoku Shou,8.70,TV,289191,10
54a,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.70,TV,797528,12
55a,Odd Taxi,8.69,TV,393040,13
56a,One Piece,8.69,TV,2183719,?
57a,Great Teacher Onizuka,8.69,TV,791202,43
58a,The First Slam Dunk,8.69,Movie,20621,1
59a,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.68,Movie,325641,1
60a,Jujutsu Kaisen 2nd Season,8.67,TV,403300,23
61a,Mononoke Hime,8.67,Movie,1195344,1
62a,Violet Evergarden,8.67,TV,1685079,13
63a,Hajime no Ippo: New Challenger,8.66,TV,269141,26
64a,Howl no Ugoku Shiro,8.66,Movie,1260234,1
65a,Made in Abyss,8.66,TV,1301065,13
66a,Made in Abyss: Retsujitsu no Ougonkyou,8.66,TV,389724,12
67a,Mushishi,8.66,TV,796587,26
68a,Mushoku Tensei II: Isekai Ittara Honki Dasu,8.66,TV,262406,12
69a,Shigatsu wa Kimi no Uso,8.65,TV,2119878,22
70a,Natsume Yuujinchou Shi,8.64,TV,237059,13
71a,Jujutsu Kaisen,8.64,TV,2273856,24
72a,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.64,TV,1265462,12
73a,Haikyuu!! Second Season,8.63,TV,1365973,25
74a,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.63,ONA,154174,14
75a,Tengen Toppa Gurren Lagann,8.63,TV,1552554,27
76a,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.63,Movie,426299,1
77a,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.62,Movie,1414621,1
78a,Natsume Yuujinchou Roku,8.62,TV,178522,11
79a,Ping Pong the Animation,8.62,TV,376202,11
80a,Shingeki no Kyojin Season 3,8.62,TV,2223912,12
81a,Death Note,8.62,TV,3728067,37
82a,Cyberpunk: Edgerunners,8.61,ONA,595022,10
83a,Spy x Family,8.61,TV,1365260,12
84a,Suzumiya Haruhi no Shoushitsu,8.61,Movie,591643,1
85a,Evangelion: 3.0+1.0 Thrice Upon a Time,8.60,Movie,349033,1
86a,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.60,Movie,669115,1
87a,Mushishi Zoku Shou: Suzu no Shizuku,8.59,Movie,123562,1
88a,Hajime no Ippo: Rising,8.59,TV,243049,25
89a,Chainsaw Man,8.58,TV,1294230,12
90a,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,TV,963479,39
91a,Ookami Kodomo no Ame to Yuki,8.58,Movie,786079,1
92a,Kenpuu Denki Berserk,8.57,TV,612291,25
93a,Kizumonogatari II: Nekketsu-hen,8.57,Movie,426773,1
94a,Natsume Yuujinchou Go,8.57,TV,177763,11
95a,Natsume Yuujinchou San,8.57,TV,244258,13
96a,Shouwa Genroku Rakugo Shinjuu,8.57,TV,282278,13
97a,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57,Movie,207809,1
98a,Yojouhan Shinwa Taikei,8.56,TV,431103,11
99a,Kimi no Suizou wo Tabetai,8.56,Movie,901464,1
100a,Mo Dao Zu Shi: Wanjie Pian,8.55,ONA,73128,12
101a,Neon Genesis Evangelion: The End of Evangelion,8.55,Movie,883900,1
102a,Zoku Natsume Yuujinchou,8.55,TV,240472,13
103a,Fate/Zero 2nd Season,8.55,TV,1078882,12
104a,Fruits Basket 2nd Season,8.55,TV,473760,25
105a,Haikyuu!! To the Top Part 2,8.54,TV,761289,12
106a,Nana,8.54,TV,623072,47
107a,Ousama Ranking,8.54,TV,583723,23
108a,Perfect Blue,8.54,Movie,658815,1
109a,Shingeki no Kyojin,8.54,TV,3759598,25
110a,Shoujo☆Kageki Revue Starlight Movie,8.54,Movie,16486,1
111a,Slam Dunk,8.54,TV,284693,101
112a,Mushishi: Hihamukage,8.53,Special,133976,1
113a,Steins;Gate 0,8.53,TV,833482,23
114a,Bakuman. 3rd Season,8.53,TV,321938,25
115a,Yuru Camp△ Season 2,8.53,TV,207599,13
116a,Kara no Kyoukai Movie 5: Mujun Rasen,8.52,Movie,231564,1
117a,Karakai Jouzu no Takagi-san Movie,8.52,Movie,60781,1
118a,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.52,TV,221338,26
119a,Sora yori mo Tooi Basho,8.52,TV,481086,13
120a,Gintama Movie 1: Shinyaku Benizakura-hen,8.52,Movie,157840,1
121a,Gintama.: Porori-hen,8.52,TV,192205,13
122a,Hotaru no Haka,8.51,Movie,640460,1
123a,Summertime Render,8.51,TV,447353,25
124a,Yakusoku no Neverland,8.51,TV,1874716,12
125a,Samurai Champloo,8.51,TV,1191203,26
126a,Shingeki no Kyojin Season 2,8.51,TV,2578373,12
127a,Kimetsu no Yaiba,8.50,TV,2828706,26
128a,One Punch Man,8.50,TV,3071085,12
129a,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.50,Movie,366779,1
130a,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.50,TV,1061701,39
131a,Ansatsu Kyoushitsu 2nd Season,8.49,TV,1366357,25
132a,Mob Psycho 100,8.49,TV,1965897,12
133a,Uchuu Kyoudai,8.49,TV,187592,99
134a,Aria the Origination,8.48,TV,124253,13
135a,Banana Fish,8.48,TV,814612,24
136a,Rainbow: Nisha Rokubou no Shichinin,8.48,TV,381879,26
137a,Road of Naruto,8.48,ONA,27458,1
138a,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.47,Movie,362855,1
139a,Chihayafuru 3,8.47,TV,133354,24
140a,Gintama: The Semi-Final,8.47,Special,69898,2
141a,Jujutsu Kaisen 0 Movie,8.47,Movie,724072,1
142a,Yuru Camp△ Movie,8.46,Movie,67142,1
143a,Yuu☆Yuu☆Hakusho,8.46,TV,656706,112
144a,Nichijou,8.46,TV,856223,26
145a,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.45,Movie,729877,1
146a,Owarimonogatari,8.45,TV,463183,12
147a,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.45,Movie,573683,1
148a,Bungou Stray Dogs 4th Season,8.45,TV,232239,13
149a,Fruits Basket: Prelude,8.45,Movie,92879,1
150a,Golden Kamuy 3rd Season,8.45,TV,155130,12
151a,Zoku Owarimonogatari,8.45,Movie,215470,6
152a,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.44,TV,824088,12
153a,Haikyuu!!,8.44,TV,1878129,25
154a,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.44,TV,1054601,24
155a,Gintama: Yorinuki Gintama-san on Theater 2D,8.43,Movie,42691,2
156a,Grand Blue,8.43,TV,734651,12
157a,Karakai Jouzu no Takagi-san 3,8.43,TV,172520,12
158a,Mononoke,8.43,TV,310614,12
159a,Mushishi Zoku Shou: Odoro no Michi,8.43,Special,97167,1
160a,Saenai Heroine no Sodatekata Fine,8.43,Movie,173547,1
161a,Kono Oto Tomare! Part 2,8.42,TV,165153,13
162a,Koukaku Kidoutai: Stand Alone Complex,8.42,TV,385932,26
163a,Mo Dao Zu Shi,8.42,ONA,218966,15
164a,Saiki Kusuo no Ψ-nan,8.42,TV,1042104,120
165a,Saiki Kusuo no Ψ-nan 2,8.42,TV,607531,24
166a,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,8.43,TV,119233,12
167a,Suzume no Tojimari,8.41,Movie,236662,1
168a,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.41,Movie,393385,1
169a,Vivy: Fluorite Eye's Song,8.41,TV,500340,13
170a,Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.41,Movie,68077,1
171a,Shingeki no Kyojin: Kuinaki Sentaku,8.41,OVA,490735,2
172a,Hunter x Hunter,8.41,TV,566835,62
173a,Josee to Tora to Sakana-tachi,8.41,Movie,384800,1
174a,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.41,TV,1642034,12
175a,Gintama°: Aizome Kaori-hen,8.40,OVA,81956,2
176a,Major S5,8.40,TV,69066,25
177a,Mo Dao Zu Shi: Xian Yun Pian,8.40,ONA,99023,8
178a,Natsume Yuujinchou Roku Specials,8.40,Special,44534,2
179a,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.40,Movie,405855,1
180a,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),8.39,Movie,201088,1
181a,Kaze ga Tsuyoku Fuiteiru,8.39,TV,286542,23
182a,Kimetsu no Yaiba: Mugen Ressha-hen,8.39,TV,645259,7
183a,Tensei shitara Slime Datta Ken 2nd Season,8.39,TV,880545,12
184a,Houseki no Kuni,8.39,TV,436726,12
185a,Kamisama Hajimemashita: Kako-hen,8.39,OVA,159969,4
186a,3-gatsu no Lion,8.38,TV,654950,22
187a,Barakamon,8.38,TV,640501,12
188a,Chihayafuru 2,8.38,TV,228077,25
189a,Cowboy Bebop: Tengoku no Tobira,8.38,Movie,362268,1
190a,Cross Game,8.38,TV,121352,50
191a,Non Non Biyori Nonstop,8.38,TV,116859,12
192a,Tian Guan Ci Fu Special,8.38,ONA,40012,1
193a,Baccano!,8.37,TV,880718,13
194a,Kimetsu no Yaiba: Katanakaji no Sato-hen,8.37,TV,607049,11
195a,Kizumonogatari I: Tekketsu-hen,8.37,Movie,509196,1
196a,Made in Abyss Movie 2: Hourou Suru Tasogare,8.37,Movie,125258,1
197a,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.37,Movie,195958,1
198a,Mushoku Tensei: Isekai Ittara Honki Dasu,8.37,TV,1171810,11
199a,Kaze no Tani no Nausicaä,8.36,Movie,358342,1
200a,Mahou Shoujo Madoka★Magica,8.36,TV,1238129,12
201a,Tian Guan Ci Fu,8.36,ONA,121144,11
202a,Usagi Drop,8.36,TV,481436,11
203a,Wu Liuqi: Xuanwu Guo Pian,8.36,ONA,54280,10
204a,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.36,TV,688527,12
205a,Fumetsu no Anata e,8.36,TV,817085,20
206a,Haikyuu!! To the Top,8.36,TV,881944,13
207a,Bakuman. 2nd Season,8.35,TV,344804,25
208a,Boku no Hero Academia 6th Season,8.35,TV,550874,25
209a,Gintama: Shiroyasha Koutan,8.35,Special,67731,1
210a,Hellsing Ultimate,8.35,OVA,891802,10
211a,K-On! Movie,8.35,Movie,318057,1
212a,Neon Genesis Evangelion,8.35,TV,1726156,26
213a,Blue Lock,8.34,TV,563010,24
214a,Kiseijuu: Sei no Kakuritsu,8.34,TV,1788204,24
215a,Psycho-Pass,8.34,TV,1573745,22
216a,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.34,TV,1047992,13
217a,Kidou Senshi Gundam: The Origin,8.33,OVA,69931,6
218a,Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.33,OVA,77570,1
219a,One Outs,8.33,TV,229892,25
220a,Romeo no Aoi Sora,8.33,TV,48082,33
221a,Tensei shitara Slime Datta Ken 2nd Season Part 2,8.33,TV,687802,12
222a,Uchuu Senkan Yamato 2199,8.33,OVA,111670,26
223a,Versailles no Bara,8.33,TV,92840,40
224a,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.33,Special,311868,1
225a,Bakemonogatari,8.33,TV,1359168,15
226a,Given,8.33,TV,538548,11
227a,Initial D First Stage,8.33,TV,355850,26
228a,Fate/stay night: Unlimited Blade Works 2nd Season,8.32,TV,823282,13
229a,Kage no Jitsuryokusha ni Naritakute!,8.32,TV,486277,20
230a,Kingdom 2nd Season,8.32,TV,118239,39
231a,Major S6,8.32,TV,61101,25
232a,Natsume Yuujinchou Go Specials,8.32,Special,43764,2
233a,Ramayana: The Legend of Prince Rama,8.32,Movie,9433,1
234a,Katanagatari,8.31,TV,546571,12
235a,Kemono no Souja Erin,8.31,TV,83729,50
236a,Natsume Yuujinchou,8.31,TV,521253,13
237a,NHK ni Youkoso!,8.31,TV,712046,24
238a,Ookami to Koushinryou II,8.31,TV,476636,12
239a,Sakamichi no Apollon,8.31,TV,372368,12
240a,Spy x Family Part 2,8.31,TV,778718,13
241a,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.31,TV,1558517,11
242a,Boku dake ga Inai Machi,8.31,TV,2002347,12
243a,Fate/strange Fake: Whispers of Dawn,8.31,Special,50417,1
244a,Hunter x Hunter: Original Video Animation,8.31,OVA,122976,8
245a,IDOLiSH7 Third Beat! Part 2,8.31,TV,11822,17
246a,Diamond no Ace: Second Season,8.30,TV,132676,51
247a,Evangelion: 2.0 You Can (Not) Advance,8.30,Movie,519466,1
248a,Hibike! Euphonium 2,8.30,TV,217824,13
249a,Kobayashi-san Chi no Maid Dragon S,8.30,TV,523235,12
250a,Kuroko no Basket 3rd Season,8.30,TV,731616,25
251a,Kino no Tabi: The Beautiful World,8.29,TV,300312,13
252a,Major: World Series,8.29,OVA,35679,2
253a,Rurouni Kenshin: Meiji Kenkaku Romantan,8.29,TV,479430,94
254a,Steins;Gate: Oukoubakko no Poriomania,8.29,Special,424831,1
255a,Ashita no Joe,8.29,TV,86101,79
256a,Beck,8.29,TV,328183,26
257a,Boku no Kokoro no Yabai Yatsu,8.29,TV,169008,12
258a,Detective Conan Movie 06: The Phantom of Baker Street,8.29,Movie,74985,1
259a,Doukyuusei (Movie),8.29,Movie,257176,1
260a,Dr. Stone,8.29,TV,1639950,24
261a,Gintama: Shinyaku Benizakura-hen,8.29,Special,42301,1
262a,Hotarubi no Mori e,8.29,Movie,794239,1
263a,Tenki no Ko,8.29,Movie,934528,1
264a,Redline,8.28,Movie,360697,1
265a,Shinsekai yori,8.28,TV,757907,25
266a,Shirobako,8.28,TV,432795,24
267a,86,8.28,TV,693761,11
268a,Fate/Zero,8.28,TV,1452357,13
269a,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,8.28,Movie,18961,12
270a,Initial D Final Stage,8.28,TV,133056,4
271a,Gin no Saji 2nd Season,8.27,TV,141822,11
272a,Gyakkyou Burai Kaiji: Ultimate Survivor,8.27,TV,340286,26
273a,Horimiya: Piece,8.27,TV,155601,13
274a,Tokyo Godfathers,8.27,Movie,278470,1
275a,Tsubasa: Tokyo Revelations,8.27,OVA,93392,3
276a,World Trigger 3rd Season,8.27,TV,105654,14
277a,Yuru Camp△,8.27,TV,463487,12
278a,Yuukoku no Moriarty Part 2,8.27,TV,229556,13
279a,Koukaku Kidoutai,8.27,Movie,606712,1
280a,Nodame Cantabile,8.27,TV,307101,23
281a,Kono Subarashii Sekai ni Shukufuku wo! 2,8.26,TV,1444152,10
282a,Naruto: Shippuuden,8.26,TV,2360148,500
283a,Planetes,8.26,TV,244524,26
284a,Space☆Dandy 2nd Season,8.26,TV,162215,13
285a,Stranger: Mukou Hadan,8.26,Movie,323140,1
286a,Diamond no Ace: Act II,8.26,TV,85278,52
287a,Hajime no Ippo: Champion Road,8.26,Special,129571,1
288a,Tenkuu no Shiro Laputa,8.26,Movie,462274,1
289a,Tonari no Totoro,8.25,Movie,1013498,1
290a,Kuroshitsuji Movie: Book of the Atlantic,8.25,Movie,186887,1
291a,Non Non Biyori Movie: Vacation,8.25,Movie,74463,1
292a,Sennen Joyuu,8.25,Movie,176957,1
293a,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,8.25,Special,249541,1
294a,Bakemono no Ko,8.25,Movie,409616,1
295a,Ginga Eiyuu Densetsu: Die Neue These - Sakubou,8.25,Movie,11852,12
296a,Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,8.25,Movie,24455,4
297a,Gyakkyou Burai Kaiji: Hakairoku-hen,8.25,TV,186353,26
298a,Hunter x Hunter: Greed Island Final,8.25,OVA,139912,14
299a,Danshi Koukousei no Nichijou,8.24,TV,795213,12
300a,Detective Conan: Episode One - The Great Detective Turned Small,8.24,Special,29616,1
301a,Dororo,8.24,TV,1153888,24
302a,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen,8.24,TV,170879,11
303a,Golden Kamuy 2nd Season,8.24,TV,190867,12
304a,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.24,TV,1646323,13
305a,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,8.23,TV,136349,25
306a,Major S3,8.23,TV,67441,26
307a,Nodame Cantabile: Finale,8.23,TV,125405,11
308a,Re:Zero kara Hajimeru Isekai Seikatsu,8.23,TV,2100008,25
309a,Sasaki to Miyano,8.23,TV,171832,12
310a,Sono Bisque Doll wa Koi wo Suru,8.23,TV,947402,12
311a,Tengoku Daimakyou,8.23,TV,309035,13
312a,Youjo Senki Movie,8.23,Movie,262418,1
313a,Dr. Stone: Ryuusui,8.23,Special,233461,1
314a,Great Pretender,8.23,TV,619300,23
315a,Hajime no Ippo: Mashiba vs. Kimura,8.23,OVA,103618,1
316a,Holo no Graffiti,8.23,ONA,52543,?
317a,Ao Ashi,8.22,TV,186404,24
318a,Bungou Stray Dogs 3rd Season,8.22,TV,586137,12
319a,Fruits Basket 1st Season,8.22,TV,778064,25
320a,Kono Sekai no Katasumi ni,8.22,Movie,179857,1
321a,Kotarou wa Hitorigurashi,8.22,ONA,133283,10
322a,Kuroko no Basket 2nd Season,8.22,TV,823407,25
323a,Magi: The Kingdom of Magic,8.22,TV,816760,25
324a,Majo no Takkyuubin,8.22,Movie,550684,1
325a,Major S1,8.22,TV,98515,26
326a,Mimi wo Sumaseba,8.22,Movie,339967,1
327a,One Piece Movie 14: Stampede,8.22,Movie,172650,1
328a,Ookami to Koushinryou,8.22,TV,789136,13
329a,Trigun,8.22,TV,730165,26
330a,Tanoshii Muumin Ikka,8.21,TV,25703,78
331a,xxxHOLiC◆Kei,8.21,TV,139038,13
332a,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.21,TV,1020485,13
333a,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.21,Movie,112289,1
334a,Detective Conan Movie 13: The Raven Chaser,8.21,Movie,57440,1
335a,IDOLiSH7 Third Beat!,8.21,TV,20421,13
336a,Kamisama Hajimemashita◎,8.21,TV,386063,12
337a,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,8.21,Movie,193015,1
338a,SKET Dance,8.21,TV,220003,77
339a,Lycoris Recoil,8.20,TV,428203,13
340a,Nomad: Megalo Box 2,8.20,TV,191452,13
341a,ReLIFE: Kanketsu-hen,8.20,Special,372534,4
342a,Saiki Kusuo no Ψ-nan: Kanketsu-hen,8.20,Special,207253,1
343a,Shoujo Kakumei Utena,8.20,TV,208665,39
344a,Shoujo Shuumatsu Ryokou,8.20,TV,323656,12
345a,Vanitas no Karte Part 2,8.20,TV,251226,12
346a,Berserk: Ougon Jidai-hen III - Kourin,8.20,Movie,215039,1
347a,Hachimitsu to Clover II,8.20,TV,104515,12
348a,Haikyuu!! Movie 4: Concept no Tatakai,8.20,Movie,78336,1
349a,Horimiya,8.20,TV,1256593,13
350a,InuYasha: Kanketsu-hen,8.20,TV,273157,26
351a,Kaguya-hime no Monogatari,8.20,Movie,217545,1
352a,Asobi Asobase,8.19,TV,452663,12
353a,Bakuman.,8.19,TV,604549,25
354a,Bungou Stray Dogs 2nd Season,8.19,TV,804968,12
355a,Fate/stay night: Unlimited Blade Works,8.19,TV,1028174,12
356a,Little Busters! Refrain,8.19,TV,162261,13
357a,Liz to Aoi Tori,8.19,Movie,129911,1
358a,Maison Ikkoku,8.19,TV,69240,96
359a,Major S2,8.19,TV,69975,26
360a,Major S4,8.19,TV,63744,26
361a,No Game No Life: Zero,8.19,Movie,835669,1
362a,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,8.19,Special,59127,1
363a,Senki Zesshou Symphogear XV,8.19,TV,37383,13
364a,Stand By Me Doraemon 2,8.19,Movie,21288,1
365a,xxxHOLiC Rou,8.19,OVA,67465,2
366a,Yojouhan Time Machine Blues,8.19,ONA,35428,6
367a,Yoru wa Mijikashi Arukeyo Otome,8.19,Movie,119370,1
368a,Wu Liuqi: Zui Qiang Fa Xing Shi,8.18,ONA,66470,10
369a,Ballroom e Youkoso,8.18,TV,318004,24
370a,Chihayafuru,8.18,TV,445147,25
371a,Girls & Panzer Movie,8.18,Movie,101684,1
372a,Higurashi no Naku Koro ni Kai,8.18,TV,467246,24
373a,Hunter x Hunter: Greed Island,8.18,OVA,150671,8
374a,Jigokuraku,8.18,TV,491196,13
375a,JoJo no Kimyou na Bouken Part 6: Stone Ocean,8.18,ONA,454443,12
376a,Non Non Biyori Repeat,8.18,TV,194028,12
377a,Paripi Koumei,8.17,TV,266988,12
378a,Quanzhi Gaoshou Specials,8.17,ONA,102355,3
379a,Toaru Kagaku no Railgun T,8.17,TV,220503,25
380a,Aria the Natural,8.17,TV,76748,26
381a,Black Lagoon: The Second Barrage,8.17,TV,498104,12
382a,Detective Conan,8.17,TV,335915,?
383a,Detective Conan Movie 20: The Darkest Nightmare,8.17,Movie,39509,1
384a,Digimon Adventure: Last Evolution Kizuna,8.17,Movie,40770,1
385a,Dr. Stone: New World,8.17,TV,360163,11
386a,Dr. Stone: Stone Wars,8.17,TV,968946,11
387a,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,8.17,Movie,433224,1
388a,Girls & Panzer: Saishuushou Part 3,8.17,Movie,23569,1
389a,K-On!!,8.17,TV,670653,26
390a,Akira,8.16,Movie,808498,1
391a,Buddy Daddies,8.16,TV,213983,12
392a,Cardcaptor Sakura,8.16,TV,421883,70
393a,Dragon Ball Super: Broly,8.16,Movie,374784,1
394a,Dragon Ball Z,8.16,TV,1180257,291
395a,Initial D Fourth Stage,8.16,TV,174715,24
396a,Initial D Second Stage,8.16,TV,204073,13
397a,Made in Abyss Movie 1: Tabidachi no Yoake,8.16,Movie,119266,1
398a,Noragami Aragoto,8.16,TV,1407214,13
399a,Ouran Koukou Host Club,8.16,TV,1084774,26
400a,Skip to Loafer,8.16,TV,180140,12
401a,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,8.16,Movie,158801,1
402a,Yuukoku no Moriarty,8.16,TV,391654,11
403a,Death Parade,8.15,TV,1695583,12
404a,Eiga Daisuki Pompo-san,8.15,Movie,33665,1
405a,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,8.15,Movie,23703,4
406a,Given: Uragawa no Sonzai,8.15,OVA,79870,1
407a,Kaguya-sama wa Kokurasetai: Ultra Romantic Teaser PV - Ishigami Yuu wa Kataritai,8.15,ONA,52699,1
408a,"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",8.15,OVA,61743,1
409a,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,8.15,Movie,252739,1
410a,Lupin III: Cagliostro no Shiro,8.15,Movie,111604,1
411a,Major: Message,8.15,OVA,29787,1
412a,Shokugeki no Souma,8.15,TV,1590005,24
413a,Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,8.14,Movie,32844,1
414a,Nisemonogatari,8.14,TV,713094,11
415a,Nodame Cantabile: Paris-hen,8.14,TV,121974,11
416a,Non Non Biyori Nonstop: Bukatsu wo Ganbatta,8.14,OVA,17669,1
417a,One Piece Film: Z,8.14,Movie,266539,1
418a,Tensei shitara Slime Datta Ken,8.14,TV,1346529,24
419a,Working!!! Lord of the Takanashi,8.14,Special,100261,1
420a,Black Clover,8.14,TV,1561846,170
421a,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,8.14,Movie,13759,1
422a,Gankutsuou,8.14,TV,241573,24
423a,Given Movie,8.14,Movie,221305,1
424a,Golden Kamuy 4th Season,8.14,TV,81010,13
425a,Haikyuu!! Movie 3: Sainou to Sense,8.14,Movie,81293,1
