rank_id,title,show_type,rating,votes,runtime_minutes,episodes
85b,Dragon Ball,TV,7.28,4269,half,153
86b,Monster,TV,8.76,3546,24,74
87b,High School of the Dead,TV,7.54,4025,24,12
88b,Summer Wars,movie,8.71,3460,114,
89b,Chrono Crusade,TV,7.76,3853,24,24
90b,Bakemonogatari,TV,8.34,3578,25,15
91b,anohana: The Flower We Saw That Day,TV,8.75,3354,23,11
92b,Gunslinger Girl,TV,7.94,3663,23,13
93b,Lunar Legend Tsukihime,TV,8.03,3555,24,12
94b,,TV,7.76,3669,24,13
95b,Yu Yu Hakusho: Ghost Files,TV,8.10,3513,half,112
96b,R.O.D -The TV-,,8.35,3405,25,26
97b,Read or Die,OAV,8.05,3528,29,3
98b,Mobile Suit Gundam Seed,TV,8.08,3467,half,50
99b,Durarara!!,TV,8.06,3475,25,24
100b,Paranoia Agent,TV,7.89,3534,25,13
101b,My-HiME,TV,8.06,3435,25,26
102b,Cardcaptor Sakura,TV,7.94,3462,half,70
103b,Outlaw Star,TV,7.87,3478,half,26
104b,Ah! My Goddess,TV,7.67,3568,half,26
105b,RahXephon,TV,8.01,3272,23,26
106b,Paprika,movie,8.29,3153,86,
107b,Mobile Suit Gundam Wing,TV,7.55,3458,half,49
108b,.hack//SIGN,TV,7.01,3645,25,26
109b,Please Teacher!,TV,7.61,3334,22,12
110b,K-ON!,TV,7.83,3229,24,14
111b,Voices of a Distant Star,OAV,8.12,3111,25,1
112b,Rumbling Hearts,TV,7.88,3191,24,14
113b,,movie,8.86,2837,163,
114b,Ghost in the Shell 2: Innocence,movie,7.85,3178,99,
115b,Honey and Clover,TV,8.40,2948,25,26
116b,D.N.Angel,TV,7.36,3341,23,26
117b,Gankutsuou: The Count of Monte Cristo,TV,8.47,2877,24,24
118b,Witch Hunter Robin,TV,7.41,3281,24,26
119b,Perfect Blue,movie,8.10,2993,80,
120b,Kimi ni Todoke - From Me to You,TV,8.44,2864,23,25
121b,Trinity Blood,TV,7.39,3272,24,24
122b,Nodame Cantabile,TV,8.65,2795,25,23
123b,Shuffle!,TV,7.51,3189,24,24
124b,Neon Genesis Evangelion: Death & Rebirth,movie,7.13,3304,139,
125b,Ninja Scroll,movie,7.55,3095,94,
126b,Rurouni Kenshin: Reflection,OAV,8.06,2898,35,2
127b,Genshiken,TV,8.11,2868,25,12
128b,Excel Saga,TV,7.44,3124,half,26
129b,Ghost in the Shell: Stand Alone Complex 2nd GIG,TV,8.75,2652,,26
130b,BECK: Mongolian Chop Squad,TV,8.42,2753,25,26
131b,Kino's Journey,TV,8.57,2696,24,13
132b,Gantz,TV,7.14,3229,24,26
133b,,TV,8.43,2730,25,45
134b,Hellsing Ultimate,OAV,8.41,2733,50,10
135b,Whisper of the Heart,movie,8.48,2699,111,
136b,Vampire Hunter D: Bloodlust,movie,7.99,2858,102,
137b,When They Cry - Kai,TV,8.14,2804,24,24
138b,Vampire Knight,TV,7.59,3003,24,13
