rank,title,rating,show_type,episodes,run_time,member_count
253,Rurouni Kenshin: Meiji Kenkaku Romantan,8.29,TV,94,Jan 1996 - Sep 1998,479430
254,Steins;Gate: Oukoubakko no Poriomania,8.29,Special,1,Feb 2012 - Feb 2012,424773
255,Ashita no Joe,8.29,TV,79,Apr 1970 - Sep 1971,86101
256,Beck,8.29,TV,26,Oct 2004 - Mar 2005,328183
257,Boku no Kokoro no Yabai Yatsu,8.29,TV,12,Apr 2023 - Jun 2023,168837
258,Detective Conan Movie 06: The Phantom of Baker Street,8.29,Movie,1,Apr 2002 - Apr 2002,74985
259,Doukyuusei (Movie),8.29,Movie,1,Feb 2016 - Feb 2016,257176
260,Dr. Stone,8.29,TV,24,Jul 2019 - Dec 2019,1639950
261,Gintama: Shinyaku Benizakura-hen,8.29,Special,1,Dec 2010 - Dec 2010,42294
262,Hotarubi no Mori e,8.29,Movie,1,Sep 2011 - Sep 2011,794119
263,Tenki no Ko,8.29,Movie,1,Jul 2019 - Jul 2019,934528
264,Redline,8.28,Movie,1,Aug 2009 - Aug 2009,360631
265,Shinsekai yori,8.28,TV,25,Sep 2012 - Mar 2013,757907
266,Shirobako,8.28,TV,24,Oct 2014 - Mar 2015,432795
267,86,8.28,TV,11,Apr 2021 - Jun 2021,693761
268,Fate/Zero,8.28,TV,13,Oct 2011 - Dec 2011,1452198
269,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,8.28,Movie,12,Mar 2022 - May 2022,18961
270,Initial D Final Stage,8.28,TV,4,May 2014 - Jun 2014,133056
271,Gin no Saji 2nd Season,8.27,TV,11,Jan 2014 - Mar 2014,141822
272,Gyakkyou Burai Kaiji: Ultimate Survivor,8.27,TV,26,Oct 2007 - Apr 2008,340286
273,Horimiya: Piece,8.27,TV,13,Jul 2023 -,154963
274,Tokyo Godfathers,8.27,Movie,1,Nov 2003 - Nov 2003,278470
275,Tsubasa: Tokyo Revelations,8.27,OVA,3,Nov 2007 - Mar 2008,93392
276,World Trigger 3rd Season,8.27,TV,14,Oct 2021 - Jan 2022,105654
277,Yuru Camp△,8.27,TV,12,Jan 2018 - Mar 2018,463487
278,Yuukoku no Moriarty Part 2,8.27,TV,13,Apr 2021 - Jun 2021,229556
279,Koukaku Kidoutai,8.27,Movie,1,Nov 1995 - Nov 1995,606712
280,Nodame Cantabile,8.27,TV,23,Jan 2007 - Jun 2007,307101
281,Kono Subarashii Sekai ni Shukufuku wo! 2,8.26,TV,10,Jan 2017 - Mar 2017,1444152
282,Naruto: Shippuuden,8.26,TV,500,Feb 2007 - Mar 2017,2360148
283,Planetes,8.26,TV,26,Oct 2003 - Apr 2004,244524
284,Space☆Dandy 2nd Season,8.26,TV,13,Jul 2014 - Sep 2014,162215
285,Stranger: Mukou Hadan,8.26,Movie,1,Sep 2007 - Sep 2007,323140
286,Diamond no Ace: Act II,8.26,TV,52,Apr 2019 - Mar 2020,85278
287,Hajime no Ippo: Champion Road,8.26,Special,1,Apr 2003 - Apr 2003,129571
288,Tenkuu no Shiro Laputa,8.26,Movie,1,Aug 1986 - Aug 1986,462274
289,Tonari no Totoro,8.25,Movie,1,Apr 1988 - Apr 1988,1013498
290,Kuroshitsuji Movie: Book of the Atlantic,8.25,Movie,1,Jan 2017 - Jan 2017,186887
291,Non Non Biyori Movie: Vacation,8.25,Movie,1,Aug 2018 - Aug 2018,74463
292,Sennen Joyuu,8.25,Movie,1,Sep 2002 - Sep 2002,176957
293,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,8.25,Special,1,Dec 2015 - Dec 2015,249541
294,Bakemono no Ko,8.25,Movie,1,Jul 2015 - Jul 2015,409616
295,Ginga Eiyuu Densetsu: Die Neue These - Sakubou,8.25,Movie,12,Sep 2022 - Nov 2022,11852
296,Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,8.25,Movie,4,Nov 2019 - Nov 2019,24455
297,Gyakkyou Burai Kaiji: Hakairoku-hen,8.25,TV,26,Apr 2011 - Sep 2011,186324
298,Hunter x Hunter: Greed Island Final,8.25,OVA,14,Mar 2004 - Aug 2004,139912
299,Danshi Koukousei no Nichijou,8.24,TV,12,Jan 2012 - Mar 2012,795213
300,Detective Conan: Episode One - The Great Detective Turned Small,8.24,Special,1,Dec 2016 - Dec 2016,29616
301,Dororo,8.24,TV,24,Jan 2019 - Jun 2019,1153888
302,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen,8.24,TV,11,Jan 2023 - Mar 2023,170879
303,Golden Kamuy 2nd Season,8.24,TV,12,Oct 2018 - Dec 2018,190867
304,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.24,TV,13,Oct 2018 - Dec 2018,1646323
305,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,8.23,TV,25,Oct 2016 - Apr 2017,136349
306,Major S3,8.23,TV,26,Jan 2007 - Jun 2007,67441
307,Nodame Cantabile: Finale,8.23,TV,11,Jan 2010 - Mar 2010,125405
308,Re:Zero kara Hajimeru Isekai Seikatsu,8.23,TV,25,Apr 2016 - Sep 2016,2100008
309,Sasaki to Miyano,8.23,TV,12,Jan 2022 - Mar 2022,171832
310,Sono Bisque Doll wa Koi wo Suru,8.23,TV,12,Jan 2022 - Mar 2022,947402
311,Tengoku Daimakyou,8.23,TV,13,Apr 2023 - Jun 2023,308676
312,Youjo Senki Movie,8.23,Movie,1,Feb 2019 - Feb 2019,262418
313,Dr. Stone: Ryuusui,8.23,Special,1,Jul 2022 - Jul 2022,233461
314,Great Pretender,8.23,TV,23,Jul 2020 - Dec 2020,619300
